"Marca temporal","¿Cual es la mayor pregunta que tienes acerca de la ingeniería de software?","¿Conoces cuales son los buenos hábitos de un ingeniero de software?","¿Con que equipo cuentas para desarrollar software?","¿Conoces los procesos de desarrollo de software?","¿Cuantos lenguajes de programación sabes utilizar? En caso de no saber utilizar ninguno menciona uno o dos lenguajes que te gustaría aprender.","¿Haz leído algún libro sobre software?¿Cual?","¿ves algún canal de Youtube sobre software?¿Cual?","¿Te gustaría ver conferencias acerca de software?","¿Hay alguna empresa para la que te gustaría trabajar cuando te gradúes?¿Cual?"
"2020/11/17 3:12:21 p. m. GMT-6","¿Lograré especializarme en data science?","No","laptop ","Si","2","POO-dusty philips y leyendo clean code","ED team, Corey Schafer(python)","Si","yellowme, microsoft"
"2020/11/17 3:21:33 p. m. GMT-6","¿Es difícil?","No","Una computadora portátil.","No","Me gustaría aprender Python y SQL","Sí; el de Pressman.","No relacionado con el ""Software"" al 100%, más bien veo de programación.","Si","Sí, para Facebook."
"2020/11/17 3:22:35 p. m. GMT-6","¿Cuántos lenguajes debería saber?","No","Laptop","Si","1","No","Ben Awad","Si","Poner mi empresa"
"2020/11/17 3:33:22 p. m. GMT-6","Sí conseguiré un buen trabajo","No","Compraré una laptop buena","Si","Uno","No","No","Si","Google"
"2020/11/17 3:42:34 p. m. GMT-6","¿Cómo saber hacer un cv más llamativo para las empresas?","No","Laptop ","Si","3","Ninguno","ED team","Si","Ksquare"
"2020/11/18 8:28:26 a. m. GMT-6","Cómo identificar los requerimientos funcionales de los no funcionales","Si","Laptop","Si","1","Ingeniería de Software de Pressman","No","Si","Apple"
"2020/11/18 1:11:32 p. m. GMT-6","¿Porqué no nos enseñan ningún lenguaje de programación?","No","Una computadora de escritorio","Si","C++, Javascript","No","No","Si","No"
"2020/11/18 2:34:11 p. m. GMT-6","Pregunta como tal no tengo alguna pero si me gustaría una orientación más inicial","No","Laptop","No","JavaSript/Java y Phyton","No","ProgramacionATS","Si","Facebook, Google"
"2020/11/18 3:11:29 p. m. GMT-6","¿Cómo saber a que personas elegir para mis equipos en el trabajo?","No","laptop","No","python, java","no","programacion ats","Si","tesla"
"2020/11/18 4:43:47 p. m. GMT-6","¿Cuál es su límite?","Si","Laptop","Si","Python, C, Java","No","No","Si","Yellowme"
"2020/11/18 4:54:10 p. m. GMT-6","¿Qué se espera de alguna persona que es ajena al desarrollo web pero quiere aprender a realizarlo?","No","Realmente no sé a qué se refiera con equipo. Si hace alusión al lenguaje o aplicaciones entonces con ninguno. Si se refiere a dispositivo electrónico, cuento con una laptop.","Si","No sé ninguno. Me gustaría aprender un poco de todos y no quedarme estancado en algunos pocos. No tengo preferencia pero creo que Java y Python son de los más usados.","Con iniciativa ajena a la facultad no. Pero he estado leyendo los recursos disponibles de Pressman y Sommervile.","No, ninguno.","No","No tengo preferencia."
"2020/11/18 5:03:05 p. m. GMT-6","¿cuántos lenguajes de programación deberia saber?","No","Laptop en un nivel aceptable para trabajar","Si","Me gustaria terminar de aprender Java y comenzar con  C, c++ y phyton","No","Ninguno","Si","No sé"